"SampleID","Pot","Intensity","Frequency","Composition","N","H","PC1","PC2","Category"
"WL22-B-M","Pot-22","Wet","Low","Heterospecific",40,15.18,-1.87000937979237,-0.318055945198672,"Physiological"
"WL23-B-M","Pot-23","Wet","Low","Heterospecific",20,10.52,-2.11449103743128,1.22350292433027,"Physiological"
"WL24-B-M","Pot-24","Wet","Low","Heterospecific",38,11.1,-1.54118774232694,0.256413838871008,"Physiological"
"WL25-B-M","Pot-25","Wet","Low","Heterospecific",29,14.76,-1.00935989393368,0.0200845931035867,"Physiological"
"WL26-B-M","Pot-26","Wet","Low","Heterospecific",33,9.52,-1.21505262184743,0.964866572213284,"Physiological"
"WL27-B-M","Pot-27","Wet","Low","Heterospecific",44,10.76,-0.368804976947384,1.02293944298873,"Physiological"
"WL28-B-M","Pot-28","Wet","Low","Heterospecific",50,9.64,-0.654593727655883,0.0696501538676968,"Physiological"
"WL29-B-M","Pot-29","Wet","Low","Heterospecific",20,10.46,-2.6359025308607,0.598293699223981,"Physiological"
"WL30-B-M","Pot-30","Wet","Low","Heterospecific",38,13.46,-1.19829324154141,0.0480145050769797,"Physiological"
"WH31-B-S","Pot-31","Wet","High","Conspecific",61,11.32,-1.14350168147279,1.85511042009697,"Physiological"
"WH32-B-S","Pot-32","Wet","High","Conspecific",41,12.34,-1.11733886467075,0.625922099128472,"Physiological"
"WH33-B-S","Pot-33","Wet","High","Conspecific",38,13.42,-0.842147983381306,-0.572546285751484,"Physiological"
"WH34-B-S","Pot-34","Wet","High","Conspecific",38,11.34,-0.631375302437486,0.817568271925732,"Physiological"
"WH35-B-S","Pot-35","Wet","High","Conspecific",57,11.62,-3.07166349921003,0.349394980108647,"Physiological"
"WH36-B-S","Pot-36","Wet","High","Conspecific",49,14.24,-1.47640013623346,-1.35060014490929,"Physiological"
"WH37-B-S","Pot-37","Wet","High","Conspecific",44,11.32,-0.494042620937052,-0.239174872585622,"Physiological"
"WH38-B-S","Pot-38","Wet","High","Conspecific",39,13.84,-0.373835120647123,0.477115506759885,"Physiological"
"WH39-B-S","Pot-39","Wet","High","Conspecific",47,14.32,-0.902353061379989,-0.0820813678220289,"Physiological"
"WH40-B-S","Pot-40","Wet","High","Conspecific",44,15.52,-1.14495899635426,-1.08909830937787,"Physiological"
