"Trait","term","DF","Sum_Sq","F","p","Variance_Explained","Partial_Eta2"
"LNC","Intensity:Frequency",1,0.00826297440235546,0.129174309141231,0.720594935282486,0.212240731964433,0.0022221941164046
"LNC","Intensity:TB_pot_c",1,0.0144665364148056,0.226154016224021,0.636176585404825,0.371583902861082,0.00388406241224529
"LNC","Frequency:TB_pot_c",1,0.0622771261556605,0.973572512116886,0.327889234121751,1.59963497359387,0.0165086236197892
"LNC","Intensity:Frequency:TB_pot_c",1,0.0530477656678112,0.829290779319377,0.366246902917647,1.36257188588222,0.0140965625852981
"LNC","Residuals",58,3.71012253537685,NA,NA,95.2972966201676,NA
"Leaf_CN","Intensity",1,11.6752004908415,0.492938459714143,0.485427546718049,0.837578348142521,0.00842731571869388
"Leaf_CN","Frequency",1,0.710504240051705,0.0299981885524103,0.863097379239365,0.050971541619143,0.000516942779404188
"Leaf_CN","TB_pot_c",1,0.19474139673207,0.00822217350554198,0.928062312134044,0.0139707388766271,0.000141741518658321
"Leaf_CN","Intensity:Frequency",1,0.0920096189192918,0.00388473670019967,0.950516200800808,0.00660076584450063,6.69737331875932e-05
"Leaf_CN","Intensity:TB_pot_c",1,0.00840278883106294,0.000354774017537136,0.985037024088583,0.000602815685643517,6.11675599087998e-06
"Leaf_CN","Frequency:TB_pot_c",1,4.40608672038252,0.186029319412207,0.667841071420166,0.316092459390795,0.00319714752128898
"Leaf_CN","Intensity:Frequency:TB_pot_c",1,3.11196470350546,0.131390213712741,0.718312465806814,0.223252205209204,0.00226022830745492
"Leaf_CN","Residuals",58,1373.72447842981,NA,NA,98.5509311252316,NA
"Chl","Intensity",1,368.744412229935,0.251523257232662,0.617902928848387,0.415351514172759,0.00431788291821934
"Chl","Frequency",1,301.818144633304,0.205872361213571,0.651715256542268,0.339966164151894,0.00353696891502579
"Chl","TB_pot_c",1,1186.76777326108,0.809502967392074,0.371987697419195,1.33676816582661,0.0137648326638795
"Chl","Intensity:Frequency",1,143.524676637055,0.0978992303712687,0.755487672507591,0.16166534267422,0.00168507349952666
"Chl","Intensity:TB_pot_c",1,815.97018033221,0.556579220606339,0.458654985055146,0.919103961118382,0.00950498181441712
"Chl","Frequency:TB_pot_c",1,518.873519513392,0.353927417992718,0.554212288351808,0.584456048271314,0.00606518590355564
"Chl","Intensity:Frequency:TB_pot_c",1,412.569185323009,0.281416455096169,0.59779966695929,0.464715478096735,0.00482857954066698
"Chl","Residuals",58,85030.6096726191,NA,NA,95.7779733256881,NA
"PSIIeff","Intensity",1,0.00121686150547989,0.220021293251865,0.640782142794664,0.359932695845825,0.00377913453764688
"PSIIeff","Frequency",1,0.00260910361075478,0.471753234103651,0.494918798574439,0.771740820242064,0.00806805351320475
"PSIIeff","TB_pot_c",1,0.00376712515002425,0.681135645771858,0.412577655484705,1.11426937636762,0.0116074039514765
"PSIIeff","Intensity:Frequency",1,0.00218683080017418,0.395401891349651,0.531942273817273,0.646837706444631,0.00677111345316768
"PSIIeff","Intensity:TB_pot_c",1,0.00323619502419586,0.585137923446778,0.447406807058138,0.957226762533092,0.00998782189795948
"PSIIeff","Frequency:TB_pot_c",1,0.00161434956337114,0.291891293375597,0.591079726482393,0.477504784040773,0.00500740818146637
"PSIIeff","Intensity:Frequency:TB_pot_c",1,0.00267193027438489,0.483112952297009,0.489790997106092,0.790324176120732,0.008260725667785
"PSIIeff","Residuals",58,0.320777895060552,NA,NA,94.8821636784053,NA
"Psi_osm","Intensity",1,0.00196192243899063,0.0917230586622753,0.763081548793572,0.156795176767298,0.00157893506738734
"Psi_osm","Frequency",1,0.000117503782381956,0.00549349256130857,0.941171450582057,0.00939080259405347,9.47064188327793e-05
"Psi_osm","TB_pot_c",1,0.000336814451156187,0.0157466223168308,0.900573122070548,0.0269179251724064,0.000271419799513079
"Psi_osm","Intensity:Frequency",1,0.00336475044431617,0.157307545015241,0.693103160689822,0.268908000749421,0.00270486292532509
"Psi_osm","Intensity:TB_pot_c",1,0.000681217070102935,0.031848003795166,0.858983553741556,0.0544422902765938,0.000548802164512893
"Psi_osm","Frequency:TB_pot_c",1,0.00416317545414446,0.194635210247301,0.660726714973811,0.332717450125956,0.00334455589495693
"Psi_osm","Intensity:Frequency:TB_pot_c",1,4.05150983051605e-05,0.00189414661084359,0.965435081008247,0.00323793228226208,3.26566336964061e-05
"Psi_osm","Residuals",58,1.24059863594865,NA,NA,99.147590422032,NA
"SS","Intensity",1,3.07016688275468,0.357267973371686,0.552354182857239,0.550980909330284,0.00612208188934935
"SS","Frequency",1,6.51270534349186,0.757867936204368,0.387585522662696,1.16878868458698,0.0128981524147066
"SS","TB_pot_c",1,9.87562699247218,1.14920308117244,0.288156439113486,1.77230819962363,0.0194288852817737
"SS","Intensity:Frequency",1,7.4633299716603,0.868489849381356,0.355236901507233,1.3393904929128,0.0147530512775755
"SS","Intensity:TB_pot_c",1,21.18794695379,2.46559068518628,0.121803897285325,3.80244941896009,0.0407767567842571
"SS","Frequency:TB_pot_c",1,6.14430980610251,0.714998629072707,0.40126431613633,1.10267537025083,0.0121774443628902
"SS","Intensity:Frequency:TB_pot_c",1,4.54379906915375,0.528751024565861,0.470057405700758,0.815443146429274,0.00903403908865119
"SS","Residuals",58,498.420492380702,NA,NA,89.4479637779061,NA
"SD","Intensity",1,219.763593016236,3.21275600702982,0.0782820938127401,3.20360632541594,0.0524850736447949
"SD","Frequency",1,433.495490122174,6.33733377214789,0.0146070507898037,6.31928553376029,0.0985016537146487
"SD","TB_pot_c",1,334.553068778729,4.89088008908608,0.030953445775437,4.87695123936052,0.0777677157985079
"SD","Intensity:Frequency",1,557.753531420055,8.15388019424809,0.00595262811220388,8.13065857158772,0.12325626509444
"SD","Intensity:TB_pot_c",1,332.149570275029,4.85574299403922,0.0315385979538292,4.84191421205358,0.0772521771717774
"SD","Frequency:TB_pot_c",1,549.118855976433,8.02764861503378,0.00632696531528612,8.00478649018677,0.12158010747646
"SD","Intensity:Frequency:TB_pot_c",1,465.647179578268,6.80736400790487,0.0115290769616621,6.78797715961454,0.105039976738979
"SD","Residuals",58,3967.40006618976,NA,NA,57.8348204680206,NA
"RD","Intensity",1,8.2013361913269e-05,0.211592463251479,0.647241890463546,0.359923578326953,0.0036348853260638
"RD","Frequency",1,5.08903166990295e-05,0.131295769552563,0.718409300316762,0.22333708143652,0.00225860730978806
"RD","TB_pot_c",1,5.77317271529751e-06,0.0148946440812639,0.903286354621286,0.0253361273518678,0.000256738276827733
"RD","Intensity:Frequency",1,3.0712857751896e-05,0.079238420101451,0.779334027767203,0.134786349502405,0.00136431575648944
"RD","Intensity:TB_pot_c",1,8.26555893013864e-06,0.0213249394169187,0.884403582115831,0.0362742055392619,0.000367536236705818
"RD","Frequency:TB_pot_c",1,0.000127345350140591,0.328547881604524,0.568731176966448,0.558867397173297,0.00563271148583044
"RD","Intensity:Frequency:TB_pot_c",1,4.92180072586557e-07,0.0012698125219158,0.971696215442433,0.00215997989564078,2.18928400364376e-05
"RD","Residuals",58,0.0224808337587911,NA,NA,98.659315280774,NA
"RDMC","Intensity",1,861.53276132825,1.4889251076754,0.227321444001764,2.48797746370218,0.025028610030866
"RDMC","Frequency",1,10.2087920443228,0.0176431210467198,0.894789640675781,0.0294814610401332,0.000304099237707908
"RDMC","TB_pot_c",1,15.2501270744251,0.0263556977930183,0.871598941715565,0.0440400808685069,0.000454202189265192
"RDMC","Intensity:Frequency",1,6.5527996320161,0.0113247323092309,0.915618155916221,0.0189235030174324,0.000195215888647404
